stop_id,stop_name,stop_lat,stop_lon,location_type,parent_station,stop_timezone,wheelchair_boarding,platform_code,zone_id
TEC:Bbgewal1,Bierges Walibi,50.704857,4.587399,0,stoparea:TEC:Bbgewal,,1,,
TEC:Bbgewal2,Bierges Walibi,50.704947,4.587301,0,stoparea:TEC:Bbgewal,,1,,
TEC:Bbghcar1,Bierghes Carrière,50.691546,4.10251,0,stoparea:TEC:Bbghcar,,1,,
TEC:Bbghcar2,Bierghes Carrière,50.69169,4.102509,0,stoparea:TEC:Bbghcar,,1,,
TEC:Bbghepi1,Bierghes Epine,50.700404,4.137948,0,stoparea:TEC:Bbghepi,,1,,
TEC:Bbghepi2,Bierghes Epine,50.700711,4.138541,0,stoparea:TEC:Bbghepi,,1,,
TEC:Bbghgli1,Bierghes Garage Limbourg,50.694009,4.114399,0,stoparea:TEC:Bbghgli,,1,,
TEC:Bbghgli2,Bierghes Garage Limbourg,50.694134,4.1143,0,stoparea:TEC:Bbghgli,,1,,
TEC:Bbghpln1,Bierghes Place Léopold Nuttinck,50.696826,4.120131,0,stoparea:TEC:Bbghpln,,1,,
TEC:Bbghsar1,Bierghes Rue du Sartiau,50.697922,4.128759,0,stoparea:TEC:Bbghsar,,1,,
TEC:Bbghsar2,Bierghes Rue du Sartiau,50.698057,4.128674,0,stoparea:TEC:Bbghsar,,1,,
TEC:Bbghsta1,Bierghes Rue de la Station,50.695685,4.120562,0,stoparea:TEC:Bbghsta,,1,,
TEC:Bbghsta2,Bierghes Rue de la Station,50.695765,4.120278,0,stoparea:TEC:Bbghsta,,1,,
TEC:Bbghsta3,Bierghes Rue de la Station,50.694444,4.120667,0,stoparea:TEC:Bbghsta,,1,,
TEC:Bbghsta4,Bierghes Rue de la Station,50.694651,4.120609,0,stoparea:TEC:Bbghsta,,1,,
TEC:Bbgncnd1,Boignee Chapelle N.D. de Bon Secours,50.499207,4.597836,0,stoparea:TEC:Bbgncnd,,1,,
TEC:Bbgncnd2,Boignee Chapelle N.D. de Bon Secours,50.499117,4.59792,0,stoparea:TEC:Bbgncnd,,1,,
