service_id,date,exception_type
6074:TEC:BW:37,20180814,1
6074:TEC:BW:37,20180817,1
6074:TEC:BW:37,20180821,1
6074:TEC:BW:37,20180822,1
6074:TEC:BW:37,20180824,1
6074:TEC:BW:36,20180704,1
6074:TEC:BW:36,20180705,1
6074:TEC:BW:36,20180706,1
6074:TEC:BW:36,20180711,1
6074:TEC:BW:36,20180712,1
6074:TEC:BW:36,20180713,1
6074:TEC:BW:36,20180718,1
6074:TEC:BW:36,20180719,1
6074:TEC:BW:36,20180720,1
6074:TEC:BW:36,20180725,1
6074:TEC:BW:36,20180726,1
6074:TEC:BW:36,20180727,1
6074:TEC:BW:36,20180801,1
6074:TEC:BW:36,20180802,1
6074:TEC:BW:36,20180803,1
6074:TEC:BW:36,20180808,1
6074:TEC:BW:36,20180809,1
6074:TEC:BW:36,20180810,1
6074:TEC:BW:36,20180816,1
6074:TEC:BW:36,20180817,1
6074:TEC:BW:36,20180822,1
6074:TEC:BW:36,20180823,1
6074:TEC:BW:36,20180824,1
6074:TEC:BW:35,20180703,1
6074:TEC:BW:35,20180704,1
6074:TEC:BW:35,20180705,1
6074:TEC:BW:35,20180706,1
6074:TEC:BW:35,20180710,1
6074:TEC:BW:35,20180711,1
6074:TEC:BW:35,20180712,1
6074:TEC:BW:35,20180713,1
6074:TEC:BW:35,20180717,1
6074:TEC:BW:35,20180718,1
6074:TEC:BW:35,20180719,1
6074:TEC:BW:35,20180720,1
6074:TEC:BW:35,20180724,1
6074:TEC:BW:35,20180725,1
6074:TEC:BW:35,20180726,1
6074:TEC:BW:35,20180727,1
6074:TEC:BW:35,20180731,1
6074:TEC:BW:35,20180801,1
6074:TEC:BW:35,20180802,1
6074:TEC:BW:35,20180803,1
6074:TEC:BW:35,20180807,1
6074:TEC:BW:35,20180808,1
6074:TEC:BW:35,20180809,1
6074:TEC:BW:35,20180810,1
6074:TEC:BW:35,20180814,1
6074:TEC:BW:35,20180816,1
6074:TEC:BW:35,20180817,1
6074:TEC:BW:35,20180821,1
6074:TEC:BW:35,20180822,1
6074:TEC:BW:35,20180823,1
6074:TEC:BW:35,20180824,1
6074:TEC:CH:19,20180702,1
6074:TEC:CH:19,20180703,1
6074:TEC:CH:19,20180704,1
6074:TEC:CH:19,20180705,1
6074:TEC:CH:19,20180709,1
6074:TEC:CH:19,20180710,1
6074:TEC:CH:19,20180711,1
6074:TEC:CH:19,20180712,1
6074:TEC:CH:19,20180716,1
6074:TEC:CH:19,20180717,1
6074:TEC:CH:19,20180718,1
6074:TEC:CH:19,20180719,1
6074:TEC:CH:19,20180723,1
6074:TEC:CH:19,20180724,1
6074:TEC:CH:19,20180725,1
6074:TEC:CH:19,20180726,1
6074:TEC:CH:19,20180730,1
6074:TEC:CH:19,20180731,1
6074:TEC:CH:19,20180801,1
6074:TEC:CH:19,20180802,1
6074:TEC:CH:19,20180806,1
6074:TEC:CH:19,20180807,1
6074:TEC:CH:19,20180808,1
6074:TEC:CH:19,20180809,1
6074:TEC:CH:19,20180813,1
6074:TEC:CH:19,20180814,1
6074:TEC:CH:19,20180816,1
6074:TEC:CH:19,20180820,1
6074:TEC:CH:19,20180821,1
6074:TEC:CH:19,20180822,1
6074:TEC:CH:19,20180823,1
6074:TEC:CH:18,20180706,1
6074:TEC:CH:18,20180713,1
6074:TEC:CH:18,20180720,1
6074:TEC:CH:18,20180727,1
6074:TEC:CH:18,20180803,1
6074:TEC:CH:18,20180810,1
6074:TEC:CH:18,20180817,1
6074:TEC:CH:18,20180824,1
6074:TEC:CH:15,20180702,1
6074:TEC:CH:15,20180703,1
6074:TEC:CH:15,20180704,1
6074:TEC:CH:15,20180705,1
6074:TEC:CH:15,20180706,1
6074:TEC:CH:15,20180709,1
6074:TEC:CH:15,20180710,1
6074:TEC:CH:15,20180711,1
6074:TEC:CH:15,20180712,1
6074:TEC:CH:15,20180713,1
6074:TEC:CH:15,20180716,1
6074:TEC:CH:15,20180717,1
6074:TEC:CH:15,20180718,1
6074:TEC:CH:15,20180719,1
6074:TEC:CH:15,20180720,1
6074:TEC:CH:15,20180723,1
6074:TEC:CH:15,20180724,1
6074:TEC:CH:15,20180725,1
6074:TEC:CH:15,20180726,1
6074:TEC:CH:15,20180727,1
6074:TEC:CH:15,20180730,1
6074:TEC:CH:15,20180731,1
6074:TEC:CH:15,20180801,1
6074:TEC:CH:15,20180802,1
6074:TEC:CH:15,20180803,1
6074:TEC:CH:15,20180806,1
6074:TEC:CH:15,20180807,1
6074:TEC:CH:15,20180808,1
6074:TEC:CH:15,20180809,1
6074:TEC:CH:15,20180810,1
6074:TEC:CH:15,20180813,1
